model,task_id,trial_id,success,mp4_path
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,0,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode0_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,10,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode10_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,11,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode11_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,12,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode12_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,13,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode13_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,14,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode14_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,15,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode15_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,16,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode16_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,17,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode17_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,18,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode18_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,19,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode19_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,1,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode1_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,20,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode20_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,21,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode21_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,22,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode22_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,23,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode23_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,24,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode24_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,25,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode25_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,26,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode26_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,27,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode27_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,28,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode28_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,29,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode29_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,2,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode2_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,3,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode3_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,4,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode4_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,5,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode5_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,6,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode6_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,7,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode7_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,8,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode8_success.mp4
StarVLA-PI-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,9,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode9_success.mp4
StarVLA-PI-Qwen3VL,put_both_moka_pots_on_the_stove,0,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_put_both_moka_pots_on_the_stove_episode0_success.mp4
StarVLA-PI-Qwen3VL,put_both_moka_pots_on_the_stove,10,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_put_both_moka_pots_on_the_stove_episode10_success.mp4
StarVLA-PI-Qwen3VL,put_both_moka_pots_on_the_stove,11,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_put_both_moka_pots_on_the_stove_episode11_success.mp4
StarVLA-PI-Qwen3VL,put_both_moka_pots_on_the_stove,12,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_put_both_moka_pots_on_the_stove_episode12_success.mp4
StarVLA-PI-Qwen3VL,put_both_moka_pots_on_the_stove,13,1,playground/Pretrained_models/StarVLA/Qwen3-VL-PI-LIBERO-4in1/results/libero_10/Qwen3-VL-PI-LIBERO-4in1_checkpoints_steps_100000_pytorch_model.pt/rollout_put_both_moka_pots_on_the_stove_episode13_success.mp4
